Date,JH,KD,KE,ML,NS,PH,PG,PK,PR,SB,SR,SE,TR,KL,PT,LB,Total
2020-01-25,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2020-02-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-02-14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,7
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,16,1,0,0,9,0,0,0,0,0,0,70,0,31,0,0,127
2020-03-14,2,0,0,5,8,0,0,0,1,11,6,5,0,3,0,0,41
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,30,26,15,8,23,17,8,16,6,31,15,52,0,63,0,2,312
2020-03-17,25,0,7,3,3,9,8,5,0,25,8,17,3,7,0,0,120
2020-03-18,11,5,5,1,0,1,7,5,0,21,20,31,3,6,0,1,117
2020-03-19,13,4,14,2,10,3,2,7,1,9,2,31,1,4,0,0,103
2020-03-20,13,1,7,2,10,4,5,10,0,7,7,40,9,16,0,0,131
2020-03-21,15,6,10,0,5,1,13,10,0,17,10,29,7,27,3,0,153
2020-03-22,16,5,2,1,8,3,8,11,0,22,8,17,5,17,0,0,123
2020-03-23,13,7,8,2,16,16,8,15,0,11,2,45,6,59,4,0,212
2020-03-24,4,5,7,6,15,0,2,17,0,1,5,27,0,15,2,0,106
2020-03-25,34,5,6,2,14,8,2,30,1,0,2,54,0,13,1,0,172
2020-03-26,43,3,10,0,9,2,4,23,0,2,10,75,1,51,2,0,235
2020-03-27,20,1,4,0,6,4,6,8,0,10,15,36,2,16,2,0,130
2020-03-28,26,1,10,9,15,14,6,6,0,15,8,33,4,7,0,5,159
2020-03-29,24,1,15,1,9,12,1,11,0,0,11,33,2,28,2,0,150
2020-03-30,24,2,4,7,10,3,1,8,1,4,6,60,0,24,2,0,156
2020-03-31,16,0,4,2,9,3,6,5,1,5,21,32,0,34,2,0,140
2020-04-01,19,2,3,11,8,9,2,5,0,3,32,22,1,25,0,0,142
2020-04-02,27,1,3,7,18,3,2,6,0,1,23,74,2,33,8,0,208
2020-04-03,21,1,0,3,4,13,0,5,0,5,28,63,18,55,1,0,217
2020-04-04,6,0,2,2,9,24,1,2,0,10,7,27,6,52,1,1,150
2020-04-05,16,1,2,14,11,7,2,6,1,13,15,53,10,27,1,0,179
2020-04-06,30,3,1,10,8,3,0,6,0,2,12,27,6,18,4,1,131
2020-04-07,10,5,5,4,22,5,1,14,4,1,15,50,0,31,2,1,170
2020-04-08,18,1,0,13,9,3,6,4,0,7,18,58,3,14,2,0,156
2020-04-09,7,2,1,3,11,14,0,4,0,0,6,40,5,14,2,0,109
2020-04-10,20,0,1,14,11,4,1,1,0,2,15,30,3,14,2,0,118
2020-04-11,21,0,2,8,17,27,5,1,0,10,7,35,1,46,2,2,184
2020-04-12,14,0,1,3,9,11,2,1,0,6,8,53,0,44,1,0,153
2020-04-13,21,0,2,0,42,0,0,3,0,14,6,13,4,27,2,0,134
2020-04-14,8,0,0,3,2,11,3,3,1,5,15,50,0,69,0,0,170
2020-04-15,14,1,0,0,1,17,0,0,0,0,8,17,0,27,0,0,85
2020-04-16,13,0,1,0,26,8,0,1,0,3,16,13,2,26,1,0,110
2020-04-17,9,0,0,1,13,1,0,1,0,5,10,9,0,19,0,1,69
2020-04-18,16,0,0,0,3,2,0,0,0,10,6,2,1,14,0,0,54
2020-04-19,3,0,0,37,0,5,0,0,0,3,5,3,0,19,9,0,84
2020-04-20,2,0,0,2,3,2,0,0,0,2,6,2,0,4,13,0,36
2020-04-21,1,0,0,1,1,8,0,0,0,0,22,11,0,13,0,0,57
2020-04-22,3,1,0,1,2,6,0,0,0,0,19,1,0,16,1,0,50
2020-04-23,3,0,0,0,20,1,0,0,0,1,4,12,1,29,0,0,71
2020-04-24,4,0,0,3,2,1,0,0,0,2,9,18,0,49,0,0,88
2020-04-25,0,0,0,0,0,1,0,0,0,0,10,1,0,39,0,0,51
2020-04-26,4,0,0,1,1,0,2,0,0,0,7,6,0,16,1,0,38
2020-04-27,0,0,0,0,1,0,0,1,0,1,3,4,0,30,0,0,40
2020-04-28,1,0,0,0,1,0,0,0,0,1,8,5,0,14,1,0,31
2020-04-29,0,0,0,0,72,5,0,0,0,2,6,1,0,8,0,0,94
2020-04-30,3,0,0,5,5,1,0,0,0,0,5,27,0,10,1,0,57
2020-05-01,3,0,0,1,0,3,0,0,0,0,2,24,0,32,4,0,69
2020-05-02,1,0,0,2,8,8,0,0,0,0,9,63,0,14,0,0,105
2020-05-03,0,0,0,3,71,0,0,0,0,1,5,11,0,30,1,0,122
2020-05-04,0,0,0,3,6,0,0,0,0,0,0,21,0,25,0,0,55
2020-05-05,0,0,0,0,0,0,0,0,0,0,2,5,0,23,0,0,30
2020-05-06,0,0,0,1,2,0,0,0,0,0,11,9,0,22,0,0,45
2020-05-07,0,0,0,1,0,0,0,0,0,1,1,16,0,20,0,0,39
2020-05-08,0,0,0,0,53,1,0,0,0,0,1,6,0,6,1,0,68
2020-05-09,0,0,0,1,28,0,0,0,0,0,4,10,0,10,1,0,54
2020-05-10,0,0,0,0,45,2,0,2,0,0,1,8,0,9,0,0,67
2020-05-11,0,0,0,1,16,4,0,0,0,10,0,3,0,35,1,0,70
2020-05-12,0,0,0,0,0,0,0,0,0,1,0,3,0,12,0,0,16
2020-05-13,0,0,0,2,22,3,0,0,0,2,1,2,0,5,0,0,37
2020-05-14,1,0,0,1,11,8,0,0,0,0,0,1,0,18,0,0,40
2020-05-15,0,0,0,1,1,5,0,0,0,0,0,14,0,15,0,0,36
2020-05-16,0,0,0,0,0,7,0,0,0,1,0,1,0,7,1,0,17
2020-05-17,0,0,0,0,0,1,0,0,0,0,0,8,0,13,0,0,22
2020-05-18,0,0,0,0,0,0,0,0,0,0,0,8,0,38,1,0,47
2020-05-19,1,0,0,0,0,2,0,0,0,6,0,6,0,22,0,0,37
2020-05-20,0,1,1,0,0,0,0,0,0,1,0,15,1,10,2,0,31
2020-05-21,0,0,0,0,2,1,0,0,0,0,0,8,0,39,0,0,50
2020-05-22,0,0,0,1,13,2,0,0,0,2,1,20,0,39,0,0,78
2020-05-23,1,0,0,0,1,3,0,0,0,1,0,37,0,5,0,0,48
2020-05-24,1,0,0,0,0,0,0,0,0,2,0,46,0,11,0,0,60
2020-05-25,0,0,0,0,0,0,0,0,0,0,4,53,0,115,0,0,172
2020-05-26,0,0,0,0,1,0,0,0,0,0,0,9,0,177,0,0,187
2020-05-27,0,0,0,0,0,0,0,0,0,1,3,5,0,6,0,0,15
2020-05-28,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,10
2020-05-29,3,0,0,0,59,1,0,0,0,2,0,28,0,10,0,0,103
2020-05-30,1,0,0,2,4,0,0,1,0,0,0,5,0,13,4,0,30
2020-05-31,0,0,0,1,2,15,0,0,0,0,0,31,0,8,0,0,57
2020-06-01,0,0,0,13,2,0,0,0,0,1,0,11,0,11,0,0,38
2020-06-02,1,0,0,1,6,0,0,0,0,1,0,6,0,5,0,0,20
2020-06-03,0,0,0,0,36,0,0,0,0,0,0,2,0,55,0,0,93
2020-06-04,0,0,0,0,3,1,0,0,0,0,0,2,0,271,0,0,277
2020-06-05,0,0,0,1,0,1,0,0,0,3,1,9,0,4,0,0,19
2020-06-06,0,0,0,0,5,0,0,0,0,0,2,14,0,15,0,1,37
2020-06-07,0,0,0,0,1,0,0,0,0,2,0,12,0,4,0,0,19
2020-06-08,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,7
2020-06-09,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7
2020-06-10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2020-06-11,0,0,0,11,16,0,0,0,0,0,0,3,0,1,0,0,31
2020-06-12,1,0,0,4,4,0,0,0,0,1,0,13,0,10,0,0,33
2020-06-13,2,0,0,2,26,2,0,1,0,2,0,7,0,1,0,0,43
2020-06-14,0,0,0,1,0,0,0,0,0,0,1,2,0,4,0,0,8
2020-06-15,3,0,0,2,32,0,0,0,0,1,0,2,0,1,0,0,41
2020-06-16,1,0,0,0,4,0,0,0,0,0,3,1,0,2,0,0,11
2020-06-17,0,0,0,0,1,0,0,0,0,2,1,5,0,1,0,0,10
2020-06-18,2,0,0,0,0,0,0,1,0,1,4,2,0,4,0,0,14
2020-06-19,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,6
2020-06-20,0,0,0,0,1,0,0,0,0,1,0,12,0,7,0,0,21
2020-06-21,1,0,0,1,6,0,0,0,0,1,3,4,0,0,0,0,16
2020-06-22,1,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,15
2020-06-23,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
2020-06-24,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6
2020-06-25,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4
2020-06-26,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6
2020-06-27,0,0,0,0,1,0,0,0,0,2,0,3,0,4,0,0,10
2020-06-28,0,0,0,0,9,0,0,0,0,2,1,5,0,1,0,0,18
2020-06-29,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
2020-06-30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
2020-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-07-02,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
2020-07-03,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,5
2020-07-04,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,0,10
2020-07-05,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,5
2020-07-06,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,5
2020-07-07,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,6
2020-07-08,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3
2020-07-09,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
2020-07-10,1,1,0,0,0,0,0,0,0,0,2,6,0,3,0,0,13
2020-07-11,2,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,8
2020-07-12,0,0,0,1,0,0,0,0,0,1,2,9,0,0,1,0,14
2020-07-13,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,7
2020-07-14,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
2020-07-15,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,5
2020-07-16,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
2020-07-17,0,0,0,0,0,0,0,0,0,1,10,4,2,1,0,0,18
2020-07-18,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,9
2020-07-19,1,0,0,0,0,0,0,2,0,1,6,4,0,1,0,0,15
2020-07-20,14,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,21
2020-07-21,0,0,0,0,0,0,0,0,0,1,11,2,0,1,0,0,15
2020-07-22,1,0,0,0,0,0,0,1,0,0,9,3,0,2,0,0,16
2020-07-23,1,0,1,0,0,1,0,0,0,1,4,0,0,1,0,0,9
2020-07-24,2,0,0,0,0,3,0,1,0,0,9,3,0,3,0,0,21
2020-07-25,10,0,0,0,0,0,0,0,0,0,8,3,0,1,0,1,23
2020-07-26,7,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,13
2020-07-27,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,7
2020-07-28,0,6,0,0,0,0,0,0,0,3,25,0,0,4,0,1,39
2020-07-29,1,0,0,0,0,0,0,0,1,1,2,2,0,6,0,0,13
2020-07-30,1,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,8
2020-07-31,3,2,0,0,1,0,0,0,0,1,1,1,0,3,0,0,12
2020-08-01,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,9
2020-08-02,0,11,0,0,0,0,0,0,0,2,0,1,0,0,0,0,14
2020-08-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020-08-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-08-05,1,3,0,0,0,0,0,0,0,2,0,0,0,15,0,0,21
2020-08-06,0,6,0,0,2,0,0,0,0,4,0,0,0,2,0,1,15
2020-08-07,1,1,0,0,0,0,1,2,10,4,1,2,0,3,0,0,25
2020-08-08,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,1,7
